interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
1s,A,20261002,29,recent24h,0,1790189948.9750001,1790204347.838,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,30,historical7d,153,1789659371.4819999,1789673770.4350002,-27.522927962754512,-6.107757183061095,-21.258211977770486,13,13,12,4,5,4,2,2,1
1s,A,20261002,31,recent24h,0,1790189975.719,1790204375.0700002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,32,historical7d,364,1789749561.959,1789763960.9,-2.3863850740758608,-0.5134430048309797,-0.5134430048309797,9,9,9,4,4,4,0,0,1
1s,A,20261002,33,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,34,historical7d,0,1789574691.945,1789589090.783,12.185026937436874,12.185026937436874,5.390720232727347,13,13,10,4,4,3,0,3,0
1s,A,20261002,35,recent24h,0,1790189958.994,1790204358.595,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,36,historical7d,0,1789575619.923,1789590018.2259998,18.940237839161114,18.940237839161114,46.46650575954561,14,14,12,5,5,5,0,2,0
1s,A,20261002,37,recent24h,0,1790189949.926,1790204348.442,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,38,historical7d,0,1789573581.7510002,1789587980.43,10.341160840460418,10.341160840460418,3.571313639887819,14,14,11,4,4,3,0,3,0
1s,A,20261002,39,recent24h,0,1790189959.747,1790204358.595,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,0,historical7d,364,1789747878.804,1789762277.8339999,-30.29550635848983,-28.527609982934393,-28.527609982934393,10,10,10,4,4,4,0,0,1
1s,B,20261014,1,recent24h,0,1790189990.95,1790204389.983,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,2,historical7d,153,1789656760.8979998,1789671159.803,-37.3829609677187,-16.414699261907288,-0.640285563760358,18,18,16,7,8,7,2,2,1
1s,B,20261014,3,recent24h,0,1790189980.988,1790204379.92,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,4,historical7d,153,1789656321.915,1789670720.879,34.511002960234485,56.27068402180754,54.85738796369659,17,17,16,8,9,8,2,1,2
1s,B,20261014,5,recent24h,0,1790189999.851,1790204398.949,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,6,historical7d,0,1789582359.908,1789596758.95,82.97983871513975,80.38152677218568,-12.73294941694769,21,21,16,8,8,6,0,5,0
1s,B,20261014,7,recent24h,0,1790189982.38,1790204381.977,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,8,historical7d,364,1789743741.91,1789758140.851,-4.008302929332585,-13.470840405542088,9.766948751842513,15,15,14,7,7,7,0,1,1
1s,B,20261014,9,recent24h,0,1790189980.988,1790204379.92,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,10,historical7d,364,1789753409.6579998,1789767808.809,10.988054746574676,12.911336176000532,12.911336176000532,7,7,7,3,3,3,0,0,1
